"subjects" "activity_code" "activity_name"
"1" 1 5 "STANDING"
"2" 1 5 "STANDING"
"3" 1 5 "STANDING"
"4" 1 5 "STANDING"
"5" 1 5 "STANDING"
"6" 1 5 "STANDING"
"7" 1 5 "STANDING"
"8" 1 5 "STANDING"
"9" 1 5 "STANDING"
"10" 1 5 "STANDING"
"11" 1 5 "STANDING"
"12" 1 5 "STANDING"
"13" 1 5 "STANDING"
"14" 1 5 "STANDING"
"15" 1 5 "STANDING"
"16" 1 5 "STANDING"
"17" 1 5 "STANDING"
"18" 1 5 "STANDING"
"19" 1 5 "STANDING"
"20" 1 5 "STANDING"
"21" 1 5 "STANDING"
"22" 1 5 "STANDING"
"23" 1 5 "STANDING"
"24" 1 5 "STANDING"
"25" 1 5 "STANDING"
"26" 1 5 "STANDING"
"27" 1 5 "STANDING"
"28" 1 4 "SITTING"
"29" 1 4 "SITTING"
"30" 1 4 "SITTING"
"31" 1 4 "SITTING"
"32" 1 4 "SITTING"
"33" 1 4 "SITTING"
"34" 1 4 "SITTING"
"35" 1 4 "SITTING"
"36" 1 4 "SITTING"
"37" 1 4 "SITTING"
"38" 1 4 "SITTING"
"39" 1 4 "SITTING"
"40" 1 4 "SITTING"
"41" 1 4 "SITTING"
"42" 1 4 "SITTING"
"43" 1 4 "SITTING"
"44" 1 4 "SITTING"
"45" 1 4 "SITTING"
"46" 1 4 "SITTING"
"47" 1 4 "SITTING"
"48" 1 4 "SITTING"
"49" 1 4 "SITTING"
"50" 1 4 "SITTING"
"51" 1 4 "SITTING"
"52" 1 6 "LAYING"
"53" 1 6 "LAYING"
"54" 1 6 "LAYING"
"55" 1 6 "LAYING"
"56" 1 6 "LAYING"
"57" 1 6 "LAYING"
"58" 1 6 "LAYING"
"59" 1 6 "LAYING"
"60" 1 6 "LAYING"
"61" 1 6 "LAYING"
"62" 1 6 "LAYING"
"63" 1 6 "LAYING"
"64" 1 6 "LAYING"
"65" 1 6 "LAYING"
"66" 1 6 "LAYING"
"67" 1 6 "LAYING"
"68" 1 6 "LAYING"
"69" 1 6 "LAYING"
"70" 1 6 "LAYING"
"71" 1 6 "LAYING"
"72" 1 6 "LAYING"
"73" 1 6 "LAYING"
"74" 1 6 "LAYING"
"75" 1 6 "LAYING"
"76" 1 6 "LAYING"
"77" 1 6 "LAYING"
"78" 1 6 "LAYING"
"79" 1 1 "WALKING"
"80" 1 1 "WALKING"
"81" 1 1 "WALKING"
"82" 1 1 "WALKING"
"83" 1 1 "WALKING"
"84" 1 1 "WALKING"
"85" 1 1 "WALKING"
"86" 1 1 "WALKING"
"87" 1 1 "WALKING"
"88" 1 1 "WALKING"
"89" 1 1 "WALKING"
"90" 1 1 "WALKING"
"91" 1 1 "WALKING"
"92" 1 1 "WALKING"
"93" 1 1 "WALKING"
"94" 1 1 "WALKING"
"95" 1 1 "WALKING"
"96" 1 1 "WALKING"
"97" 1 1 "WALKING"
"98" 1 1 "WALKING"
